/home/xxwu/LLMGraphBench/LLMPredictor/../common/dataloader.py:6: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
[297, 'AI', 'AI (Artificial Intelligence)']
[298, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[299, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[301, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[302, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[303, 'AI', 'ML (Machine Learning)']
[305, 'ML (Machine Learning)', 'ML (Machine Learning)']
[306, 'AI', 'ML (Machine Learning)']
[307, 'DB', 'DB (Databases)']
[308, 'HCI', 'HCI (Human-Computer Interaction)']
[309, 'DB', 'DB (Databases)']
[310, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[311, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[312, 'AI', 'ML (Machine Learning)']
[314, 'AI (Artificial Intelligence)', 'DB (Databases)']
[315, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[316, 'AI', 'ML (Machine Learning)']
[318, 'AI', 'AI (Artificial Intelligence)']
[319, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[320, 'AI', 'Agents']
[321, 'AI', 'Agents']
[323, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[325, 'DB', 'ML (Machine Learning)']
[326, 'Agents', 'Agents']
[327, 'ML (Machine Learning)', 'DB (Databases)']
[328, 'AI', 'DB (Databases)']
[329, 'AI', 'DB (Databases)']
[330, 'AI', 'HCI (Human-Computer Interaction)']
[332, 'AI', 'HCI (Human-Computer Interaction)']
[333, 'AI', 'IR (Information Retrieval)']
[334, 'AI', 'IR (Information Retrieval)']
[335, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[336, 'AI', 'ML (Machine Learning)']
[337, 'AI', 'AI (Artificial Intelligence)']
[339, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[340, 'AI', 'DB (Databases)']
[341, 'DB (Databases)', 'DB (Databases)']
[342, 'ML (Machine Learning)', 'ML (Machine Learning)']
[343, 'AI', 'ML (Machine Learning)']
[345, 'DB', 'DB (Databases)']
[347, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[348, 'AI', 'HCI (Human-Computer Interaction)']
[352, 'AI (Artificial Intelligence)', 'DB (Databases)']
[353, 'AI', 'Agents']
[354, 'AI', 'ML (Machine Learning)']
[355, 'AI', 'ML (Machine Learning)']
[356, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[357, 'AI (Artificial Intelligence)', 'Agents']
[358, 'DB (Databases)', 'DB (Databases)']
[360, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[361, 'AI (Artificial Intelligence)', 'Agents']
[363, 'AI', 'AI (Artificial Intelligence)']
[364, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[365, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[366, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[367, 'ML (Machine Learning)', 'ML (Machine Learning)']
[368, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[369, 'ML (Machine Learning)', 'ML (Machine Learning)']
[370, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[371, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[372, 'IR (Information Retrieval)', 'HCI (Human-Computer Interaction)']
[373, 'AI (Artificial Intelligence)', 'DB (Databases)']
[374, 'Agents', 'Agents']
[375, 'ML (Machine Learning)', 'ML (Machine Learning)']
[376, 'DB', 'DB (Databases)']
[379, 'DB (Databases)', 'DB (Databases)']
[380, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[382, 'DB (Databases)', 'DB (Databases)']
[383, 'DB', 'DB (Databases)']
[384, 'AI', 'HCI (Human-Computer Interaction)']
[385, 'Agents', 'IR (Information Retrieval)']
[386, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[387, 'Agents', 'IR (Information Retrieval)']
[388, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[390, 'AI', 'IR (Information Retrieval)']
[391, 'Agents', 'Agents']
[392, 'DB (Databases)', 'DB (Databases)']
[393, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[394, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[395, 'AI', 'Agents']
[396, 'AI', 'DB (Databases)']
[397, 'DB', 'DB (Databases)']
[398, 'ML (Machine Learning)', 'ML (Machine Learning)']
[399, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[400, 'Agents', 'Agents']
[401, 'AI', 'ML (Machine Learning)']
[402, 'ML (Machine Learning)', 'ML (Machine Learning)']
[404, 'HCI', 'Agents']
[405, 'ML (Machine Learning)', 'ML (Machine Learning)']
[406, 'AI', 'HCI (Human-Computer Interaction)']
[407, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[409, 'AI', 'IR (Information Retrieval)']
[411, 'AI', 'AI (Artificial Intelligence)']
[412, 'AI', 'HCI (Human-Computer Interaction)']
[413, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[414, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[416, 'DB (Databases)', 'DB (Databases)']
[418, 'DB', 'DB (Databases)']
[419, 'AI', 'ML (Machine Learning)']
[420, 'ML (Machine Learning)', 'DB (Databases)']
[422, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[423, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[424, 'AI', 'Agents']
[425, 'DB', 'DB (Databases)']
[427, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[428, 'ML (Machine Learning)', 'ML (Machine Learning)']
[430, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[431, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[432, 'AI', 'DB (Databases)']
[434, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[435, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[436, 'DB', 'DB (Databases)']
[438, 'AI', 'Agents']
[439, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[441, 'AI (Artificial Intelligence)', 'DB (Databases)']
[442, 'Agents', 'ML (Machine Learning)']
[443, 'AI (Artificial Intelligence)', 'DB (Databases)']
[445, 'AI (Artificial Intelligence)', 'Agents']
[446, 'AI', 'ML (Machine Learning)']
[447, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[449, 'AI', 'AI (Artificial Intelligence)']
[450, 'Agents', 'Agents']
[451, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[452, 'DB', 'DB (Databases)']
[453, 'Agents', 'Agents']
[454, 'AI', 'DB (Databases)']
[455, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[456, 'DB', 'DB (Databases)']
[457, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[458, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[459, 'AI', 'Agents']
[460, 'DB', 'DB (Databases)']
[461, 'DB', 'DB (Databases)']
[462, 'AI', 'AI (Artificial Intelligence)']
[463, 'DB', 'DB (Databases)']
[465, 'ML', 'IR (Information Retrieval)']
[466, 'HCI (Human-Computer Interaction)', 'IR (Information Retrieval)']
[467, 'IR (Information Retrieval)', 'ML (Machine Learning)']
[469, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[470, 'AI', 'ML (Machine Learning)']
[471, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[472, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[473, 'HCI (Human-Computer Interaction)', 'Agents']
[474, 'AI', 'DB (Databases)']
[475, 'DB', 'DB (Databases)']
[476, 'AI (Artificial Intelligence)', 'Agents']
[477, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[478, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[479, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[480, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[482, 'AI', 'HCI (Human-Computer Interaction)']
[483, 'AI', 'DB (Databases)']
[484, 'AI', 'Agents']
[486, 'AI', 'ML (Machine Learning)']
[488, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[490, 'DB (Databases)', 'DB (Databases)']
[491, 'AI', 'Agents']
[493, 'AI (Artificial Intelligence)', 'Agents']
[494, 'AI', 'AI (Artificial Intelligence)']
[496, 'AI', 'Agents']
[497, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[499, 'HCI (Human-Computer Interaction)', 'IR (Information Retrieval)']
[500, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[501, 'AI', 'IR (Information Retrieval)']
[502, 'ML (Machine Learning)', 'ML (Machine Learning)']
[503, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[504, 'DB (Databases)', 'DB (Databases)']
[505, 'HCI (Human-Computer Interaction)', 'IR (Information Retrieval)']
[506, 'ML (Machine Learning)', 'HCI (Human-Computer Interaction)']
[507, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[508, 'IR (Information Retrieval)', 'AI (Artificial Intelligence)']
[509, 'AI', 'Agents']
[510, 'AI', 'AI (Artificial Intelligence)']
[511, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[512, 'AI', 'DB (Databases)']
[513, 'DB (Databases)', 'IR (Information Retrieval)']
[514, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[515, 'AI (Artificial Intelligence)', 'DB (Databases)']
[516, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[517, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[518, 'ML (Machine Learning)', 'DB (Databases)']
[519, 'DB', 'DB (Databases)']
[520, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[522, 'AI', 'ML (Machine Learning)']
[524, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[526, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[527, 'AI', 'AI (Artificial Intelligence)']
[528, 'AI', 'AI (Artificial Intelligence)']
[529, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[530, 'AI', 'ML (Machine Learning)']
[532, 'Agents', 'Agents']
[533, 'AI', 'AI (Artificial Intelligence)']
[534, 'AI (Artificial Intelligence)', 'DB (Databases)']
[535, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[536, 'AI', 'Agents']
[538, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[539, 'DB', 'DB (Databases)']
[541, 'HCI (Human-Computer Interaction)', 'IR (Information Retrieval)']
[542, 'AI', 'Agents']
[543, 'AI', 'DB (Databases)']
[544, 'AI', 'IR (Information Retrieval)']
[545, 'ML (Machine Learning)', 'ML (Machine Learning)']
[546, 'Agents', 'Agents']
[547, 'DB', 'DB (Databases)']
[548, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[552, 'HCI', 'HCI (Human-Computer Interaction)']
[553, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[554, 'AI', 'HCI (Human-Computer Interaction)']
[555, 'Agents', 'Agents']
[560, 'DB', 'IR (Information Retrieval)']
[562, 'HCI', 'HCI (Human-Computer Interaction)']
[563, 'AI (Artificial Intelligence)', 'Agents']
[564, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[565, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[566, 'AI', 'Agents']
[567, 'AI (Artificial Intelligence)', 'Agents']
[569, 'HCI (Human-Computer Interaction)', 'Agents']
[570, 'ML (Machine Learning)', 'DB (Databases)']
[571, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[572, 'AI', 'ML (Machine Learning)']
[574, 'HCI', 'HCI (Human-Computer Interaction)']
[575, 'DB (Databases)', 'DB (Databases)']
[576, 'AI', 'IR (Information Retrieval)']
[577, 'AI', 'Agents']
[578, 'DB', 'DB (Databases)']
[579, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[581, 'AI', 'IR (Information Retrieval)']
[583, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[585, 'HCI (Human-Computer Interaction)', 'IR (Information Retrieval)']
[586, 'IR', 'IR (Information Retrieval)']
[587, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[588, 'AI', 'AI (Artificial Intelligence)']
[589, 'Agents', 'Agents']
[590, 'DB', 'IR (Information Retrieval)']
[591, 'AI', 'HCI (Human-Computer Interaction)']
[592, 'AI', 'IR (Information Retrieval)']
[593, 'AI', 'ML (Machine Learning)']
[594, 'DB', 'DB (Databases)']
[595, 'AI', 'DB (Databases)']
[596, 'HCI', 'Agents']
[597, 'AI', 'IR (Information Retrieval)']
[600, 'AI', 'Agents']
[601, 'AI', 'ML (Machine Learning)']
[602, 'DB', 'DB (Databases)']
[603, 'ML (Machine Learning)', 'ML (Machine Learning)']
[604, 'Agents', 'Agents']
[605, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[606, 'AI', 'Agents']
[607, 'DB', 'DB (Databases)']
[608, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[610, 'DB', 'DB (Databases)']
[611, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[612, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[613, 'Agents', 'Agents']
[616, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[618, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[620, 'Agents', 'Agents']
[623, 'ML (Machine Learning)', 'ML (Machine Learning)']
[624, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[625, 'Agents', 'Agents']
[626, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[628, 'AI', 'HCI (Human-Computer Interaction)']
[630, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[631, 'AI', 'ML (Machine Learning)']
[632, 'DB', 'DB (Databases)']
[633, 'DB', 'DB (Databases)']
[636, 'AI', 'ML (Machine Learning)']
[637, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[638, 'HCI', 'Agents']
